Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-02-19,16193.45,24302.55,15692.36,11447.45,58718.95,0,1295.5,11847.2,399.7,17129.2,19637.45,0,5451.87,20583,2961.85,16824.1,765.4,9185.26,395.76,0,234,3716.63,0,91,0,600,24,587,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0
2024-02-20,14646,15170.81,49816.9,77694,1576.25,600,1611.35,36881.18,2694.2,586.25,11401,750,312,4451.46,14955.8,16430.3,16571.8,10207.93,1847.44,0,512.04,26193.82,0,0,0,1800,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0
2024-02-21,13565.25,42784.89,10089.95,162460,82913.5,134.15,4290.5,3973.25,7478.5,85203.5,605292.35,5545.81,287.3,8486.26,4450,17033.85,23537.45,103975.25,32.99,4422,0,448.65,0,139.4,0,28,135,9975,0,0,0,0,0,0,22984.5,0,0,0,0,0,0,0,0
2024-02-22,2230.84,55429.5,10157.13,27768,11493.29,210,2590.41,3752.2,598.8,1809,1954656,989.4,0,1694.6,0,19016,1754.4,17321.08,923.72,1800,945.6,7676,0,0,0,0,90,0,1953750,520,0,0,0,0,7276.5,0,0,0,0,0,0,0,0
2024-02-23,16510.57,14623.08,4904.46,7281.5,2569.26,1246,4081.4,28557,1345.3,8116.8,1928922.5,1017.08,0,3174,440,3118.4,262.03,5162.74,276.96,1975,1744.35,9203.58,0,110.26,0,96.3,0,585.15,0,0,0,0,0,0,6198.5,0,0,0,359.97,0,0,0,0
2024-02-26,9880.7,10806.08,2579.8,9052.7,426.16,2075,372.73,3442.41,2768,14851,11312.7,12489.8,1167.2,27800,6857.4,2095.3,54885.45,1854.2,8207.78,390,864.54,1254.24,0,0,0,188.8,369.5,792.3,0,5510,0,0,0,0,88242,0,0,0,0,0,0,0,0
2024-02-27,19555,117338.96,34451.23,5516.5,4696.23,150,1257.64,4685.9,2308.3,0,11622,0,67065.36,270,1097,1495.08,1183.57,1032.82,1591.59,0,8920.6,4408.62,0,566.7,0,1365,240,1247.88,0,0,0,0,0,0,37734,0,0,0,600,0,0,0,0
2024-02-28,18506.25,38439.17,29218.8,270421.13,1028.34,0,61.37,3036.5,949.2,0,5761.68,49.88,732.8,7684.06,4607.4,16527.32,2025.15,47537.11,5958.03,159100,4937.87,467.82,0,0,0,0,504,0,2490,1010,0,319,0,0,200,0,35,0,1799.85,0,0,0,0
2024-02-29,21325,91862.04,28180.4,114257.2,15830,0,1546.3,31820.25,553.08,1595.25,125134,0,226674.7,28540.24,570.44,3193.26,1213,8543.1,65.66,934.8,45283.32,657.66,0,5000.8,0,0,160,579,615,1499.97,0,0,0,0,2430.55,0,0,0,3959.67,0,0,0,0
2024-03-01,16867.63,49837.67,26459.83,0,20855.05,135,59.04,11362.1,1864.5,71010,22091.77,0,1050,2255,658.2,8475.62,3104.74,1308.94,0,0,53.9,33.8,0,0,0,354,16,22.8,0,0,0,0,0,0,401499.12,0,0,0,960,244200,0,0,0
2024-03-04,67329.54,33147.38,11661.89,51691.75,21059.3,60,561.99,9440.65,2121.25,51447,254066.7,1728.9,3195.52,2209.9,1797.72,4410.9,200.75,10240.35,1497.38,0,423.5,67.8,0,126.6,0,0,24,228,4875,500,0,0,0,0,4489.1,0,0,0,360,0,0,0,0
2024-03-05,10716.5,79432.92,120126.16,37245.8,3516.65,180,148.8,8051.65,248.2,12717,167734.4,105,3864,12419,6010.46,22678.4,58.7,23039.5,18533.75,388.9,21616,676,0,0,0,650,115.2,3649.85,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-06,2008,562503.1,5484.92,80492.55,2997.35,1199,27612.37,2188.6,1360.4,2812,92399.72,3426.4,0,10760.65,1246.76,10032.65,1807.7,206.36,683.34,0,14364,25300,0,0,0,300,0,1212,1829.99,10290,0,0,0,0,97505.64,0,0,0,0,0,0,0,0
2024-03-07,1929.33,33832.25,61986.05,75052,27017.99,495,1291.5,406,999,7490.77,298398.37,274.78,0,168361,129017.76,1400,13558.13,744,1836,59383.73,4494,5037.64,0,0,0,2200,80,5137,0,3480,0,0,0,0,40061.8,0,0,0,0,0,0,0,0
2024-03-08,149.92,34165.39,22749.31,171475,910.99,75,0,954.62,2490,1470,179925.2,4821,0,14352.96,1029.48,73949,4262.4,49233.8,3711.15,233.88,777.9,1554.15,0,0,0,120,344,9917.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,15651.86,24186.78,30197.6,997.28,1819.2,0,35.01,0,750,13083.67,235932.98,0,43600,19536.74,78896,22676.21,79652.46,5705.2,3918.4,13709,554.26,517.86,0,0,0,360,32,1695.62,0,0,0,0,0,0,515945.56,0,0,0,0,0,0,0,0
2024-03-12,554.85,66244.74,163049.08,28022,19654.65,150,27837.99,80.75,1475,732,75454,1905,0,13120,27027.85,54869.93,1016.16,13607.9,0,0,9077,1711.94,0,0,0,0,0,0,0,0,0,679.77,0,0,0,0,0,0,360,0,0,0,0
2024-03-13,5548.5,34838.3,144744.72,756645.5,17200.16,434.81,2113.75,1610,1014.1,4197.5,0,84000,1432.5,20449,23100,1056.8,90.48,13087.3,0,599.95,5083.98,577.5,0,0,0,0,0,0,0,587090,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-14,152,469564.65,64007,8566.85,3288.26,390,3271.68,25092.75,65.7,25751.01,2759,1600.8,0,43154.14,61837,5174.8,1018.7,4116.8,0,0,885.22,11541.57,0,0,0,320,8,0,0,7500,0,0,0,0,1948.1,0,0,0,0,0,0,0,0
2024-03-15,3161.56,32988.57,127139.35,3051.41,2449.1,857,374.9,3847.8,1420.2,12420,18171.48,157500,1712.2,61757.55,59732.5,68479.8,1262.9,5994.5,2155.93,110,1511.1,6392.54,0,18.8,0,10,120,1606.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,12416,25760.03,39724.48,4374.25,10650.36,59.98,0,272,555,10198.5,78285.73,0,15470,66435,1161,9966.6,2157.52,16363.75,363.9,0,4971.3,15397.68,0,0,0,0,112,975.55,0,12753.75,0,0,0,0,84.7,0,0,0,120,0,0,0,0
2024-03-20,1919.81,33997.26,93806.39,786.88,10608.99,0,46.9,33133.77,75,35567.65,388295.7,0,536.54,115733,919,7419.3,2191.77,3837.25,669.37,0,386.7,1336.94,0,0,0,0,0,54.5,610,12125,0,129.48,0,0,0,0,0,0,120,0,0,0,0
2024-03-21,992,98076433.06,182691.95,41142.34,10836.65,0,28051.31,1295.19,3612.5,8477.98,374.91,336,10015.72,2344.19,27269,37901,894.65,1561.92,3539.67,477.18,585.63,1737.95,0,18.8,0,20,0,0,2440,0,0,388.32,0,0,0,0,0,0,0,0,0,0,0
2024-03-22,7870.97,44375.8,16544.8,124027.48,14262.58,0,293.09,0,1180.5,2870,223532.72,80600,21871,28973,34279,2268,3340.25,45370.99,419.85,107.98,481.8,139.6,0,883.6,0,0,0,0,1460,14478380,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,1212,102219.95,48261.57,658462.94,69213,0,16907,22290,4299.3,20944,118502.7,237.06,6984.4,768,13588,25126.1,3430.8,124607.25,27.9,105.98,7376.01,2575.36,0,0,0,0,264,1070,2190,61280,0,161.85,0,0,282866.2,0,0,0,119.99,0,0,0,0
2024-03-26,6917.35,2244363.36,146532.28,592520.83,73043.18,0,1155.95,162.5,8890.6,6060,4910,73388,10612.57,17010.5,5868.1,17037.3,7776.66,22294.72,838.5,4716.11,8176.1,718.94,0,0,0,0,0,0,0,14635,0,0,0,0,650442.71,0,0,0,120,0,0,0,0
2024-03-27,0,63956.07,120942,32516.39,57334.14,0,7500,27699.7,222.5,15406.5,7002.72,73996.5,4830,447.75,3564,120316.1,19181.26,60859.3,251.91,0,11152.5,2394.14,0,0,10.34,0,0,1088,0,13540,0,129.2,0,0,316738.4,0,0,0,1318.9,0,0,0,0
2024-04-01,3720,217037.59,42632.6,1746,6259.5,0,23.94,2611,8654.4,1689.5,203511.47,1891,759,17938,14949,47385.41,5903.6,28865,2864,0,2186,0,0,0,0,0,16,1044,1520,6102.9,0,0,0,0,7650,0,0,0,0,0,0,0,0
2024-04-02,1540,55970.87,81109,287780.94,9269.54,0,368,8528,14204.4,8939,3642.1,0,1971.9,92813,199881.5,12975.86,2436.94,113082.65,0,0,58665.12,2496.6,0,0,0,0,0,1050,0,46200,0,0,7000,0,0,0,0,0,0,0,0,0,0
2024-04-03,3254,10441.2,361865.32,2183.9,64401.5,0,6860.35,2722.5,0,30782.5,13783.5,0,4864.5,230281,82351.7,8623525.53,244564.9,321669.78,522,0,31260,516.8,0,0,0,0,0,0,860,0,0,679.77,0,0,39,0,0,0,240,0,0,0,0
2024-04-04,7000335.9,2990.22,137391,101923.95,10038.3,0,2011,1294.5,446.4,1525,79025.7,468,575,65792.5,145.95,61908.5,3749.75,2667.6,694.8,1562.5,672,129.2,0,77,0,0,0,6469.5,0,54000,640,0,0,0,70,0,0,0,0,0,0,0,0
2024-04-05,449.85,150877.25,404758.65,40071.65,4091.98,0,11420,8314.91,195,6507.5,57167.23,0,9735.9,152210.5,1440,6337.45,27392.8,7078.5,1344,3250,3149,920.97,0,441.8,0,0,0,1457.86,0,1320.02,1024,647.4,0,0,175,0,0,0,0,0,0,0,0
2024-04-08,3027.64,48424052.61,129133.35,2678.78,32033.22,0,2384.5,1853.7,2880,278.72,1254.5,4550,1855.14,555.5,3167.6,16996.2,4837.95,1099,579.8,789.98,3270.98,968.25,0,220,0,0,8,300,0,0,1506.02,0,0,0,640,0,0,0,336,0,0,0,0
2024-04-09,2145.26,10293.3,194052.65,270559.28,12673.65,0,1011,835,6298.9,18414,20477.45,0,272.67,41482,30937.66,6102594.4,9239.12,8568.1,1017.02,0,799.7,1209.92,0,0,0,0,0,1265,1700,2100,1988.85,1747.98,0,0,759,0,0,0,0,0,0,0,0
2024-04-10,2900,19275.08,142993.21,22396,6033.45,0,6714.85,12343.5,3990,8850,30000,2326.55,14838.6,20873.62,0,18461.5,395,4791,0,581,6074.85,5725.54,0,0,0,0,0,464.8,745,0,1539.28,0,0,0,0,0,0,0,120,0,0,0,0
2024-04-11,521.46,36876.77,143712.9,12264,9725.53,0,767.65,917.75,1180.1,5387.5,69283.45,2471.55,1932,59822.58,8649,14164.2,2031.9,10883.05,4334,736,4936.79,6338.17,0,0,0,0,29851,648,0,0,1507.4,0,0,0,0,0,0,0,239.8,0,0,0,0
2024-04-12,4987.11,9999.35,168133.97,945774,1220.4,0,1210.68,1082.25,4726.2,36887.08,30782,83844.15,1253.5,117233.6,40748.8,26656093.2,19900.62,288369.2,599.8,0,4933,1150,0,0,0,0,23324,3650.4,0,0,2914.75,0,850,0,660,0,0,0,115,0,0,0,0
